127.0.0.1 - - [27/Feb/2024:08:38:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:38:32 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:38:32 +0900] "GET /drawAcademy/resources/images/lg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:38:32 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 2990
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:38:32 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:38:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:39:13 +0900] "GET /drawAcademy/about HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:39:13 +0900] "GET /drawAcademy/resources/css/about.css HTTP/1.1" 200 4134
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:39:13 +0900] "GET /drawAcademy/resources/images/demitasse%20project.PNG HTTP/1.1" 200 531217
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:39:16 +0900] "GET /drawAcademy/classpage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:39:16 +0900] "GET /drawAcademy/login HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:39:16 +0900] "GET /drawAcademy/resources/css/login.css HTTP/1.1" 200 3615
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:39:21 +0900] "GET /drawAcademy/instructors HTTP/1.1" 200 7131
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:39:21 +0900] "GET /drawAcademy/resources/images/%EA%B0%95%EC%82%AC%20%ED%94%84%EB%A1%9C%ED%95%84%20%EC%82%AC%EC%A7%84.PNG HTTP/1.1" 200 2009
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:39:21 +0900] "GET /drawAcademy/resources/css/instructors.css HTTP/1.1" 200 5614
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:39:28 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:39:28 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:40:07 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:40:07 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:40:53 +0900] "GET /drawAcademy/instructors HTTP/1.1" 200 7131
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:41:02 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:41:02 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:41:13 +0900] "GET /drawAcademy/login HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:41:18 +0900] "POST /drawAcademy/loginProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:41:18 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6097
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:41:19 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 5267456
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:41:19 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 80654
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:41:21 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7601
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:41:21 +0900] "GET /drawAcademy/resources/images/mypage.demitasse.PNG HTTP/1.1" 200 444292
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:41:21 +0900] "GET /drawAcademy/resources/css/mypage.css HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:41:40 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 14589952
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:41:44 +0900] "GET /drawAcademy/classCancle? HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:12 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7650
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:12 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7650
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:12 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7650
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:12 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7650
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:12 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7650
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:12 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7650
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:12 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7650
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:12 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7650
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:12 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7650
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:12 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7650
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:14 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7650
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:24 +0900] "GET /drawAcademy/mypage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:24 +0900] "GET /drawAcademy/login;jsessionid=081995894C2C6BAA850002C75850F5BB HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:24 +0900] "GET /drawAcademy/resources/css/login.css HTTP/1.1" 200 3615
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:24 +0900] "GET /drawAcademy/resources/images/lg.png HTTP/1.1" 200 28090
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:27 +0900] "POST /drawAcademy/loginProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:27 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6097
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:27 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 2990
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:27 +0900] "GET /drawAcademy/resources/images/menu.png HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:27 +0900] "GET /drawAcademy/resources/images/facebookIcon.png HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:27 +0900] "GET /drawAcademy/resources/images/instagramIcon.png HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:27 +0900] "GET /drawAcademy/resources/images/youtubeIcon.png HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:28 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 4956160
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:28 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 80654
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:29 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7650
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:29 +0900] "GET /drawAcademy/resources/css/mypage.css HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:29 +0900] "GET /drawAcademy/resources/images/mypage.demitasse.PNG HTTP/1.1" 200 444292
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:43:49 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 15319040
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:44:12 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7625
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:44:13 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7625
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:44:39 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:44:40 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:44:53 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 7616
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:45:00 +0900] "GET /drawAcademy/classCancle? HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:45:02 +0900] "GET /drawAcademy/setting? HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:45:05 +0900] "GET /drawAcademy/setting? HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:48:11 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 8313
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:48:13 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 8313
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:48:13 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 8313
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:48:13 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 8313
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:48:13 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 8313
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:48:17 +0900] "GET /drawAcademy/memout? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:48:17 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5961
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:48:17 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:48:38 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 15204352
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:48:49 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 782
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:14 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:17 +0900] "GET /drawAcademy/signUp HTTP/1.1" 200 3497
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:17 +0900] "GET /drawAcademy/resources/css/signup.css HTTP/1.1" 200 4097
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:18 +0900] "POST /drawAcademy/emailCheckResult HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:22 +0900] "POST /drawAcademy/signUpProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:22 +0900] "GET /drawAcademy/? HTTP/1.1" 200 5967
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:22 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:25 +0900] "GET /drawAcademy/login HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:28 +0900] "POST /drawAcademy/loginProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:28 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6097
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:29 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 6389760
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:29 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 80654
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:35 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 8350
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:41 +0900] "GET /drawAcademy/mypage HTTP/1.1" 200 8350
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:49:56 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 25460736
